,Attack,Feature,ATE,p-value
40,\mlleakacc,\accdiff,    0.1798,4.82E-58
43,\mlleakacc,\centroid,    0.0000,0.00E+00
39,\mlleakacc,\lossdiff,    0.0000,0.00E+00
41,\mlleakacc,\numparams,    0.1609,1.42E-04
36,\mlleakacc,\testbias,    3.9476,3.55E-06
38,\mlleakacc,\testvar,    0.8342,1.26E-06
35,\mlleakacc,\trainbias,    0.0000,0.00E+00
42,\mlleakacc,\trainsize,   -0.0890,1.24E-06
37,\mlleakacc,\trainvar,   -0.3385,4.25E-02
49,\mlleaklacc,\accdiff,    0.1817,2.03E-95
52,\mlleaklacc,\centroid,   -0.2877,1.53E-07
48,\mlleaklacc,\lossdiff,    0.0000,0.00E+00
50,\mlleaklacc,\numparams,    0.1607,1.64E-05
45,\mlleaklacc,\testbias,    3.3946,5.15E-05
47,\mlleaklacc,\testvar,    0.8382,3.30E-04
44,\mlleaklacc,\trainbias,    0.0000,0.00E+00
51,\mlleaklacc,\trainsize,   -0.1052,2.10E-09
46,\mlleaklacc,\trainvar,   -0.2395,1.95E-02
5,\memguard,\accdiff,    0.0805,5.04E-11
8,\memguard,\centroid,    0.1410,6.87E-16
4,\memguard,\lossdiff,    0.0000,0.00E+00
6,\memguard,\numparams,    0.0393,1.91E-02
1,\memguard,\testbias,    1.7732,4.67E-03
3,\memguard,\testvar,    0.1690,5.56E-02
0,\memguard,\trainbias,    0.0000,0.00E+00
7,\memguard,\trainsize,   -0.0587,1.77E-09
2,\memguard,\trainvar,   -0.0345,1.99E-01
14,\oakacc,\accdiff,    0.2949,1.54E-136
13,\oakacc,\lossdiff,    0.0000,0.00E+00
15,\oakacc,\numparams,    0.1536,1.03E-05
10,\oakacc,\testbias,    2.8590,3.14E-05
12,\oakacc,\testvar,    0.9483,1.40E-04
9,\oakacc,\trainbias,    0.0000,0.00E+00
16,\oakacc,\trainsize,   -0.1137,2.03E-13
11,\oakacc,\trainvar,    0.0243,3.20E-02
58,\threshacc,\accdiff,    0.2715,5.63E-83
57,\threshacc,\lossdiff,    1.4711,2.48E-01
59,\threshacc,\numparams,    0.1374,1.33E-01
54,\threshacc,\testbias,    1.6541,1.85E-04
56,\threshacc,\testvar,    1.0284,1.44E-03
53,\threshacc,\trainbias,    0.0000,0.00E+00
60,\threshacc,\trainsize,   -0.0893,2.64E-09
55,\threshacc,\trainvar,    0.2026,2.19E-03
22,\mlleaktopacc,\accdiff,    0.1773,3.14E-59
25,\mlleaktopacc,\centroid,    0.2741,8.65E-21
21,\mlleaktopacc,\lossdiff,    0.0000,0.00E+00
23,\mlleaktopacc,\numparams,    0.1415,8.46E-02
18,\mlleaktopacc,\testbias,    3.8692,1.36E-06
20,\mlleaktopacc,\testvar,    0.7784,6.85E-07
17,\mlleaktopacc,\trainbias,    0.0000,0.00E+00
24,\mlleaktopacc,\trainsize,   -0.0937,8.03E-08
19,\mlleaktopacc,\trainvar,   -0.3431,3.55E-02
31,\mlleaktoplacc,\accdiff,    0.1578,4.96E-54
34,\mlleaktoplacc,\centroid,    0.2753,6.41E-19
30,\mlleaktoplacc,\lossdiff,    0.0000,0.00E+00
32,\mlleaktoplacc,\numparams,    0.1602,6.13E-05
27,\mlleaktoplacc,\testbias,    3.9796,9.55E-07
29,\mlleaktoplacc,\testvar,    0.7538,4.85E-07
26,\mlleaktoplacc,\trainbias,    0.0000,0.00E+00
33,\mlleaktoplacc,\trainsize,   -0.0971,5.57E-08
28,\mlleaktoplacc,\trainvar,   -0.3991,2.93E-02
