,Attack,Feature,ATE,p-value
40,\mlleakacc,\accdiff,    0.0000,0.00E+00
43,\mlleakacc,\centroid,    0.0000,0.00E+00
39,\mlleakacc,\lossdiff,    0.2719,7.31E-63
41,\mlleakacc,\numparams,    0.1787,1.18E-01
36,\mlleakacc,\testbias,    0.0000,0.00E+00
38,\mlleakacc,\testvar,    0.0000,0.00E+00
35,\mlleakacc,\trainbias,    0.0000,0.00E+00
42,\mlleakacc,\trainsize,   -0.0857,3.96E-03
37,\mlleakacc,\trainvar,   -0.0472,9.27E-01
49,\mlleaklacc,\accdiff,    0.0000,0.00E+00
52,\mlleaklacc,\centroid,    0.0000,0.00E+00
48,\mlleaklacc,\lossdiff,    0.3416,1.25E-103
50,\mlleaklacc,\numparams,    0.1647,6.61E-02
45,\mlleaklacc,\testbias,    0.0000,0.00E+00
47,\mlleaklacc,\testvar,    0.0000,0.00E+00
44,\mlleaklacc,\trainbias,    0.0000,0.00E+00
51,\mlleaklacc,\trainsize,   -0.1015,2.11E-03
46,\mlleaklacc,\trainvar,    0.0618,5.31E-01
5,\memguard,\accdiff,    0.0000,0.00E+00
8,\memguard,\centroid,    0.0903,9.28E-01
4,\memguard,\lossdiff,    0.1278,6.82E-03
6,\memguard,\numparams,    0.0469,1.50E-01
1,\memguard,\testbias,    0.0000,0.00E+00
3,\memguard,\testvar,    0.0000,0.00E+00
0,\memguard,\trainbias,    0.0000,0.00E+00
7,\memguard,\trainsize,   -0.0371,9.67E-03
2,\memguard,\trainvar,    0.0023,9.04E-01
14,\oakacc,\accdiff,    0.0000,0.00E+00
13,\oakacc,\lossdiff,    0.6194,2.86E-01
15,\oakacc,\numparams,   -0.0055,9.43E-03
10,\oakacc,\testbias,    0.1960,2.39E-01
12,\oakacc,\testvar,    0.2057,1.25E-01
9,\oakacc,\trainbias,    0.6174,1.28E-05
16,\oakacc,\trainsize,   -0.0881,4.25E-03
11,\oakacc,\trainvar,    0.0277,3.94E-01
58,\threshacc,\accdiff,    0.0000,0.00E+00
57,\threshacc,\lossdiff,   -0.6702,1.20E-12
59,\threshacc,\numparams,    0.0111,3.30E-02
54,\threshacc,\testbias,    0.0631,3.61E-01
56,\threshacc,\testvar,    0.2835,3.88E-01
53,\threshacc,\trainbias,   -0.2563,3.44E-05
60,\threshacc,\trainsize,   -0.0954,2.91E-03
55,\threshacc,\trainvar,    0.0450,2.47E-01
22,\mlleaktopacc,\accdiff,    0.0000,0.00E+00
25,\mlleaktopacc,\centroid,    0.0000,0.00E+00
21,\mlleaktopacc,\lossdiff,    0.2147,8.43E-10
23,\mlleaktopacc,\numparams,    0.1107,6.76E-02
18,\mlleaktopacc,\testbias,   -0.0580,9.64E-02
20,\mlleaktopacc,\testvar,    0.2350,5.08E-02
17,\mlleaktopacc,\trainbias,    0.0000,0.00E+00
24,\mlleaktopacc,\trainsize,   -0.0888,1.72E-03
19,\mlleaktopacc,\trainvar,   -0.1551,7.91E-01
31,\mlleaktoplacc,\accdiff,    0.0000,0.00E+00
34,\mlleaktoplacc,\centroid,    0.0000,0.00E+00
30,\mlleaktoplacc,\lossdiff,    0.2783,1.46E-65
32,\mlleaktoplacc,\numparams,    0.1645,7.26E-02
27,\mlleaktoplacc,\testbias,    0.0000,0.00E+00
29,\mlleaktoplacc,\testvar,    0.0000,0.00E+00
26,\mlleaktoplacc,\trainbias,    0.0000,0.00E+00
33,\mlleaktoplacc,\trainsize,   -0.0935,6.53E-03
28,\mlleaktoplacc,\trainvar,   -0.0627,8.80E-01
